10cas;12cas;16cas;19cas;24cas;30cas;44cas;60cas;62cas;66cas;69cas;74cas;80cas;94cas
1712;1200;1096;1279;1255;1579;1328;1440;1248;1680;1360;1600;1224;1312
5487;1632;2208;1592;1600;2728;1520;5232;1887;2024;1424;2200;2088;1208
4728;6231;3303;2888;6096;5231;2112;3360;1624;2072;1688;2887;5063;3224
1480;1312;1192;1184;1640;1112;1160;1104;1240;1240;976;1248;1016;1448
18335;5743;3376;2679;1424;1536;8766;3928;2959;9248;16430;1168;3208;1200
12096;5087;4992;5463;3584;3595;8904;12391;2000;1888;2056;5328;2736;2944
35599;5208;5240;9072;7888;6256;7560;11600;5304;6144;23968;6384;7159;3512
7952;2007;4144;1552;2760;1304;10024;1512;1504;1488;2376;3120;1416;1432
8119;5288;3039;12703;1975;2303;5527;848;475;1520;1192;1064;1608;1296
59251;5016;6673;5985;5457;4539;5946;10886;4340;2064;2747;2661;2435;3737
17614;9279;3871;7032;3656;1792;2720;13256;5839;2248;2296;2296;2072;1960
20143;3599;3344;2695;6032;2431;2672;5463;2208;1904;1264;7952;1800;1824
8312;51407;8464;3624;16384;7480;8743;5080;4720;2216;5856;7928;4289;3704
2952;1752;2135;3008;2536;1744;2328;2576;2096;2608;2319;3064;1879;1968
12071;4736;5328;3872;13512;3760;5432;4024;3072;4032;2952;5704;2200;3224
19014;3008;1632;4826;1649;1974;2088;7942;1976;1696;2240;1504;2614;1512
7000;2264;2287;3496;6160;1912;1968;4728;2263;1888;4912;4080;6008;2200
10967;5472;6703;7680;4920;2864;1864;3144;1695;2904;1520;2040;1608;1280
10383;4336;3400;9280;4912;7551;3007;3016;1872;2391;3616;2848;1712;1711
11544;5783;1656;1608;3872;2352;1488;5288;1456;1688;1232;3680;1360;1136
12520;6992;3336;7992;5984;5112;3215;5304;2584;2447;6328;3240;3463;2120
10848;4192;4039;2208;4887;2207;2488;3672;3559;4632;1983;2224;2383;2272
1864;1984;1480;2639;2696;4159;1928;1600;1704;1248;1680;1880;2128;1368
1128;1368;1400;1160;1280;1344;1688;1664;1568;1416;1784;1344;2600;1144
13312;4592;3880;3344;6656;4040;2672;5567;3752;3040;2040;2352;2400;2688
5433;3719;4814;4383;4875;4547;2390;9937;2294;3306;1775;6422;2698;2371
2288;1696;1736;3408;1184;1187;1200;1800;1680;1560;1728;2120;2008;1040
6032;2736;2912;3424;7615;1256;1423;2672;5480;2056;3720;1408;1088;2153
9073;13808;7240;5359;5499;3328;2849;2735;2296;4448;2644;13612;3128;2704
12048;4344;1696;1232;1552;1336;1336;1712;1248;1064;1096;1024;1256;1183
10607;6295;5159;6047;5232;3935;11031;17615;2568;3191;5656;3480;1711;1688
13975;5248;4336;17975;3312;5880;4120;13015;2160;4264;1560;1816;5520;1672
5399;1112;1272;1120;2808;947;1208;1616;1231;1576;904;1088;952;1040
1415;1640;1192;5613;1192;1671;2431;11754;1751;1719;1536;1248;1272;1136
5999;1800;3840;4848;2776;2304;2592;11112;2296;1999;2223;2396;2432;1360
32727;12047;7823;4288;6368;4463;2647;23567;2256;5208;2120;3632;2752;1536
6039;1664;1480;1903;1584;1359;1177;3608;1376;1424;1672;2528;1281;1624
7448;8192;6248;4135;3448;2728;2064;6352;6280;2152;2264;1744;1792;2696
29783;4463;2895;2736;5344;5304;2160;5599;3520;2536;2408;3295;13776;3464
7883;7732;8805;10221;8673;4911;4519;10166;8465;3955;6776;3303;4527;3001
9207;4848;6271;8512;4959;9087;3544;7263;6824;3400;3416;4024;4335;3352
3576;2936;1960;2816;3360;2712;2224;2392;1904;2152;2128;1840;2888;2039
5695;3704;2735;7024;4176;2344;2191;2119;1672;2520;2272;2720;1384;1376
24280;3718;3871;4487;5249;3582;3169;4995;7212;2137;1776;1841;1385;1497
4744;1496;4952;2680;1368;1447;1287;1792;1264;1240;2768;1824;1376;1568
8582;2128;2448;3567;1760;2460;1831;4064;2824;3439;3144;10879;2232;2344
18407;8527;2851;3055;6015;2456;2312;5391;1584;2544;2320;1664;2008;1864
11398;5919;3528;2847;4855;2164;2616;7807;2192;2336;2168;2288;2040;1791
10639;5544;3968;5056;2296;1648;2064;19408;2672;3208;3464;4480;2920;1856
7535;6536;4768;123080;6920;2207;7784;3520;2000;1688;1776;2560;1912;6703
9080;7432;9440;12743;8408;4904;3608;15095;3120;3879;3608;4200;5288;2992
2152;1224;3488;1192;1552;1584;1472;3264;1200;1632;1152;1439;1848;1248
52741;10271;5279;5432;4487;3783;2952;14607;3576;3112;2408;6223;4008;3160
5044;3189;3288;3865;3592;3271;3824;2627;2613;2425;7354;2542;2270;1919
9480;10344;6559;10007;7104;5824;3616;6416;2840;4983;5848;7256;6312;3104
4328;4304;2480;4927;3104;11384;1688;2031;1703;1680;2000;1672;1248;1216
18352;6880;2984;5304;4464;2024;2096;3479;2184;1304;1496;1087;1592;1240
5415;2038;3728;2600;3368;2336;2575;12111;1440;2408;2799;1863;1991;1552
5576;39155;5320;2800;2560;3207;3336;6360;3936;3008;9241;1536;12199;1984
17471;6943;5496;11207;9880;4088;4319;20840;8567;3584;4264;4936;3664;2648
7340;4192;2496;2488;4800;1407;6095;32529;4753;1600;1737;4392;2545;1421
6927;7967;3519;5624;3896;3832;4928;11495;3808;1528;3312;3768;2872;3055
22703;16071;3808;4416;1824;3384;1392;8151;1560;1304;1168;1512;3591;1240
11263;5224;7320;9624;10863;4856;5367;8351;6128;7200;6239;7607;2152;8176
14312;6799;4648;3856;1896;3745;3591;2120;2608;4480;1792;1785;2711;1544
24975;39358;12231;6975;27968;17088;11735;10440;5944;3720;3223;4855;2520;2872
2560;1416;1496;1391;1544;1424;1144;1280;1384;1088;1328;976;1632;1128
8488;3696;2162;2544;1903;2304;1296;7151;1648;1624;1592;1448;1504;1081
7378;6753;2671;3713;3393;1905;1360;19703;2545;1744;3726;5662;2584;2313
46372;9271;10745;5960;8230;6697;8364;20968;3659;2237;1730;2612;9405;1889
4872;4456;2904;4511;2679;6295;2856;2352;2032;2895;1888;3719;2056;2288
32455;6005;5146;3475;2503;2514;1897;8259;2451;2114;2128;1809;2011;1860
42455;6264;5808;4416;5312;2560;2408;5840;1322;1571;1495;11991;1779;1384
10007;1728;3096;8935;10295;1823;2071;8752;2303;1936;3959;6919;2961;2384
4976;1864;3712;3888;2216;2380;2840;6578;2376;1736;2960;1992;1872;3088
13975;2096;1703;2224;1496;5719;1600;4703;1616;1543;1608;4840;1696;1800
8767;3424;2264;1984;1456;1464;1328;5384;1951;1336;1184;1336;1392;1408
12167;18855;5416;3240;15551;2788;2113;9335;2264;4624;2119;2912;1563;1640
34157;4440;3783;3983;3257;2640;2824;7104;4128;11006;4583;10791;5776;11904
11911;1712;1543;1408;1960;1824;1632;1704;1592;1448;1359;1271;1720;1400
3664;4463;2536;2592;2168;2108;1712;1912;2143;1952;1727;2992;1816;1584
3248;1304;1244;1407;1200;1087;1120;2440;1384;1144;1151;1504;1840;1120
3328;1367;14583;2792;1160;3224;992;1224;3312;1232;2576;1704;1568;1191
31943;20192;8776;27263;15047;5272;6360;57758;60134;4624;7848;7688;13423;5576
24127;4480;1768;1800;1616;1504;1608;7624;1520;1863;7896;1504;1528;1936
16607;5496;4616;3240;3951;2016;2192;3048;2672;1752;2440;1951;1456;1543
9967;6063;5880;3144;4775;4712;5112;5912;2832;3520;3616;2183;2216;2120
9942;3872;5583;4263;4903;3039;2295;10639;3432;1880;1912;2752;1408;1791
13744;2464;3376;2889;4616;4480;5240;6352;5265;7440;3328;3319;5032;6216
53439;7772;10110;3216;3077;2489;1824;11218;1600;2231;3139;1367;2096;1359
34463;4872;5704;5424;8704;1916;2312;21393;1864;2320;3560;3592;2272;3080
13728;7063;26527;5384;6640;5391;5168;8655;3887;3703;2287;2520;1607;2520
1248;1488;1336;1160;1080;1072;1039;1184;1048;920;1184;1056;992;920
77516;6720;4976;3024;5120;4247;3152;2032;2064;4216;2295;1584;5880;3208
11744;3128;2040;5895;2152;1600;1192;5079;1776;1456;1776;1256;1536;1762
5091;2448;4759;2897;2407;3150;2968;5488;2123;1944;1978;2682;2768;2007
7087;3736;2727;3176;1688;2192;2161;5023;2552;1608;5815;3136;3128;1656
12608;5464;8543;6928;7072;4176;8623;6335;2136;1896;2264;2320;1816;2872
1040;920;1248;944;1207;1096;1048;2760;1088;990;928;1000;896;840
17886;10831;4224;7359;2312;4136;2048;7207;2416;2584;1784;6191;2728;2504
1504;2223;1488;1224;1360;2128;1648;3992;1297;2400;1263;1680;1768;1319
22015;5496;9279;3416;3616;3064;1232;4248;2208;2848;2128;4152;1592;2152
10175;3960;3736;3376;2104;6023;1664;11200;1680;2008;2496;1400;3192;2320
3359;1936;1784;1616;1888;1488;1808;1544;2919;1656;1816;1432;1504;1223
11671;9007;4719;5327;6208;2632;2361;5327;3687;2343;4896;3032;2232;2232
1144;1312;1206;1376;1148;1168;1375;1159;1224;1344;1168;1032;2624;1064
16409;4216;72;3008;4280;5889;4568;4589;4253;3678;3055;4126;5005;4477
7815;2831;3295;2352;3383;1616;1216;3663;1496;1528;1840;3256;2208;1200
12480;4888;6912;4704;5271;3000;1888;2096;1880;2416;1519;2864;1528;1680
464;657;1704;504;4072;3144;4080;2040;2344;3384;1728;2128;1888;1728
8439;8720;3815;3607;5655;3608;1943;2455;2800;4191;2920;2712;2879;4303
23072;9025;6523;5380;12293;3283;4359;12380;2187;2775;3905;196;2869;2249
11648;1936;2440;2896;1624;1647;1480;1696;1416;1288;1097;1808;1264;1576
28196;7927;5871;5119;4952;19646;9983;13351;8591;3528;2896;4121;12920;4583
17325;9143;2544;4184;7095;2624;2184;5744;2488;1768;2232;3200;2703;1560
1808;1504;1280;1264;1360;1441;1232;1456;1400;1032;1192;1144;1032;1080
10596;2019;2326;2024;1477;2392;1298;3690;3040;2168;2185;1938;1329;1224
17839;4296;4143;5943;3583;5519;3288;3616;2904;3072;2480;3072;2194;2054
2344;3447;4184;1528;1792;1672;1704;1704;1344;2384;1200;1272;1200;1424
4432;4536;4232;4024;3487;2320;2304;2360;1680;1856;2104;1832;1320;1584
7600;5816;4160;5456;4248;2976;2408;3288;2072;1808;1769;2120;3232;1672
2531;2920;4907;3135;4645;2070;2176;2991;2536;1585;1551;70;1801;305
3984;2727;3200;2032;2200;1672;2544;3688;4520;1248;1184;1544;1496;1760
26071;12559;4976;3872;8367;3807;2296;10264;6112;2448;2176;5584;5824;2656
3616;13441;3823;1840;3264;2960;1616;182324;2032;1416;2488;2784;1624;1337
56077;6784;13175;4880;5744;3504;1872;3992;2424;3544;1495;2320;17071;3519
9680;7759;5384;5256;2776;6056;3151;11504;1976;1759;2759;3424;4376;1624
5080;1672;1888;1800;2215;1280;1520;2248;1561;1920;2096;1312;1200;1232
13024;5832;2055;2648;3168;1945;1816;10543;3568;1232;1897;2632;1703;2016
9087;4112;4120;4104;3328;5216;2072;3200;1944;2184;1688;2136;2096;2335
7672;5552;5928;3440;2496;4207;3256;5096;5295;2433;2904;2848;2847;2344
5013;5305;5279;3504;3968;3032;2928;3304;2024;2480;3152;2264;2392;1920
1528;2768;1736;1552;1456;1464;1232;1855;2720;1512;1320;1320;832;1168
1352;1304;1128;1264;1200;1280;1528;1160;4488;1216;1264;1048;1112;1104
2808;1824;2048;1351;1896;2360;1895;1720;1464;1687;1513;1320;3136;1656
5664;2848;3104;2615;2208;1848;2264;1848;1432;2744;1448;1673;1504;1304
14535;5264;5208;6287;6704;3784;7824;5839;5415;5551;7320;2648;3432;3063
24975;2736;2439;4200;3360;2016;2784;4951;1608;1440;1943;1191;1680;1959
2016;1752;1807;1816;1480;2239;1752;1720;2216;1496;1488;1624;1392;1296
2064;1696;1856;1912;4888;1508;1753;2625;1872;1464;1536;1264;1384;1416
3168;1536;1807;1720;1591;3344;1960;2440;3032;1960;3904;1688;4617;2616
27439;6399;4568;7431;12511;3213;3231;3703;3055;2944;2672;10943;2792;8120
4168;1993;1919;2336;3856;1928;1832;1984;1400;1961;1312;2175;2568;1264
6064;5672;4608;3935;33422;2792;3039;7247;2215;2032;2215;2296;1944;2112
3575;4624;6327;3343;2560;2584;2208;3936;2392;2376;1776;1440;3224;1664
